canonical_id,canonical_name,merged_id,merged_name,confidence,type
PF1CDE38,ジョイス・キャロル・オーツ,P9EC4F8F,ジョイス・キャロル・オーツ,1.0,exact
PC2E0672,樫尾忠雄,P62EC0A6,樫尾忠雄,1.0,exact
P68A0ADD,高原慶一朗,P9EC94F9,高原慶一朗,1.0,exact
P08FBF9C,澤田秀雄,P9B8DFEB,澤田秀雄,1.0,exact
P3A0B6C7,山田安民,P64EB92B,山田安民,1.0,exact
PDDC727B,上原正吉,P465E2E0,上原正吉,1.0,exact
P4DE9BC4,蔵人金男,P653BD1F,蔵人金男,1.0,exact
PA94A435,松尾孝,PA518169,松尾孝,1.0,exact
P2E5A169,藤井林右衛門,P301B432,藤井林右衛門,1.0,exact
PD72DF96,マリリン・ヒューソン,P867A124,マリリン・ヒューソン,1.0,exact
